lat,lng,min,day
42.4397,-76.4712,0,1
42.4398,-76.4993,0.840567,1
42.4398,-76.4993,1.67628,1
42.4398,-76.4993,2.51142,1
42.4398,-76.4993,3.3416,1
42.438,-76.4834,4.17712,1
42.438,-76.4834,5.01232,1
42.4291,-76.4992,5.84815,1
42.4291,-76.4992,6.70165,1
42.3583,-76.6023,12.0196,1
42.3595,-76.6022,12.8946,1
42.3583,-76.6023,13.7309,1
42.3537,-76.6097,14.5687,1
42.3408,-76.6278,15.3709,1
42.3389,-76.6306,16.2033,1
42.3365,-76.6363,17.0396,1
42.3232,-76.6598,17.8822,1
42.3232,-76.6598,18.7379,1
42.317,-76.6634,19.5327,1
42.2619,-76.6792,20.3468,1
42.2724,-76.6915,21.183,1
42.2903,-76.7145,21.8842,1
42.2827,-76.7276,22.7393,1
42.2249,-76.7155,23.5224,1
42.2249,-76.7155,24.3601,1
42.2249,-76.7155,25.1965,1
42.2249,-76.7155,26.0515,1
42.2366,-76.7224,26.8721,1
42.2249,-76.7155,27.726,1
42.2249,-76.7155,28.5618,1
42.2249,-76.7155,29.3983,1
42.2098,-76.7667,30.1481,1
42.2098,-76.7667,30.9977,1
42.2112,-76.7767,31.833,1
42.2098,-76.7667,32.6707,1
42.2119,-76.7816,33.5072,1
42.2119,-76.7816,34.3844,1
42.2119,-76.7816,35.2216,1
42.2119,-76.7816,36.0684,1
42.2433,-76.7604,36.9057,1
42.2183,-76.8015,37.7739,1
42.2119,-76.7816,38.5438,1
42.1459,-77.0504,43.0836,1
42.1441,-77.0475,43.9196,1
42.1441,-77.0475,44.7545,1
42.1441,-77.0475,45.5055,1
42.1528,-77.0793,46.593,1
42.1538,-77.0844,47.4294,1
42.1538,-77.0844,48.2673,1
42.1538,-77.0844,49.1221,1
42.1538,-77.0844,49.8796,1
42.1538,-77.0844,50.7063,1
42.1639,-77.0955,51.548,1
42.1591,-77.0846,52.403,1
42.202,-77.1376,53.2563,1
42.202,-77.1376,54.1101,1
42.202,-77.1376,54.9469,1
42.202,-77.1376,55.7972,1
42.202,-77.1376,56.6336,1
42.202,-77.1376,57.4134,1
42.202,-77.1376,58.2809,1
42.2304,-77.1567,59.1172,1
42.3826,-77.3777,68.6629,1
42.3798,-77.3694,69.8038,1
42.3798,-77.3694,70.6527,1
42.3798,-77.3694,71.4971,1
42.3798,-77.3694,72.3388,1
42.3798,-77.3694,73.1533,1
42.3798,-77.3694,73.9738,1
42.3798,-77.3694,74.8245,1
42.3798,-77.3694,75.6125,1
42.3819,-77.3756,76.4511,1
42.3823,-77.3769,77.2225,1
42.3826,-77.3777,78.0322,1
42.3823,-77.3769,78.8669,1
42.3839,-77.3818,79.7026,1
42.3839,-77.3818,80.5789,1
42.3819,-77.3756,81.3412,1
42.3814,-77.3744,82.1827,1
42.3819,-77.3756,83.0192,1
42.3788,-77.4067,83.8729,1
42.3771,-77.4149,84.7096,1
42.3764,-77.4198,85.4337,1
42.3727,-77.4286,86.2299,1
42.3726,-77.4353,87.0018,1
42.365,-77.4935,87.9194,1
42.3668,-77.5037,88.8289,1
42.3678,-77.5088,89.7039,1
42.3699,-77.5252,90.5404,1
42.371,-77.5334,91.3774,1
42.3702,-77.5463,92.2204,1
42.3498,-77.5861,93.096,1
42.3686,-77.572,93.9313,1
42.3686,-77.572,94.7679,1
42.3691,-77.5941,95.6038,1
42.3582,-77.6353,96.3755,1
42.3586,-77.601,97.132,1
42.3694,-77.6052,97.9674,1
42.3502,-77.6334,98.8029,1
42.3502,-77.6334,99.5765,1
42.3502,-77.6334,100.38,1
42.3466,-77.6362,101.216,1
42.3048,-77.8922,109.037,1
42.268,-78.0525,114.719,1
42.2932,-78.0769,115.578,1
42.268,-78.0525,116.445,1
42.268,-78.0525,117.294,1
42.249,-78.073,118.131,1
42.249,-78.073,118.968,1
42.2409,-78.0925,120.311,1
42.2387,-78.0964,121.147,1
42.2337,-78.1036,121.988,1
42.2301,-78.1099,122.879,1
42.2377,-78.1622,123.635,1
42.2377,-78.1622,124.385,1
42.2377,-78.1622,125.222,1
42.2377,-78.1622,126.06,1
42.2377,-78.1622,126.973,1
42.2197,-78.2813,127.833,1
42.2197,-78.2813,128.669,1
42.2197,-78.2813,129.506,1
42.2093,-78.3593,130.351,1
